
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
EGP7854 | LANCADO | NF: 5833 | Job: CONCLUIDO
FPB9049 | LANCADO | NF: 5853 | Job: CONCLUIDO
CGC5A76 | EMITIDA | NF: 5978 | Job: CONCLUIDO
DYC9G10 | LANCADO | NF: 5835 | Job: CONCLUIDO
CZI6574 | EMITIDA | NF: 5938 | Job: CONCLUIDO
DYN6E82 | LANCADO | NF: 5811 | Job: CONCLUIDO
CMU4315 | EMITIDA | NF: 5872 | Job: CONCLUIDO
OBB13 | EMITIDA | NF: 5873 | Job: CONCLUIDO
BRY7J69 | LANCADO | NF: 5827 | Job: CONCLUIDO
ESE3G64 | EMITIDA | NF: 5875 | Job: CONCLUIDO
ESX5278 | EMITIDA | NF: 5876 | Job: CONCLUIDO
HJW0J23 | EMITIDA | NF: 5877 | Job: CONCLUIDO
FSV2C90 | EMITIDA | NF: 5878 | Job: CONCLUIDO
DSR0J08 | EMITIDA | NF: 5879 | Job: CONCLUIDO
FXZ7D70 | EMITIDA | NF: 5880 | Job: CONCLUIDO
TDH6J40 | EMITIDA | NF: 5881 | Job: CONCLUIDO
EAK7B46 | EMITIDA | NF: 5882 | Job: CONCLUIDO
DVX8J08 | EMITIDA | NF: 5883 | Job: CONCLUIDO
EYQ0E16 | EMITIDA | NF: 5884 | Job: CONCLUIDO
DCI5F94 | EMITIDA | NF: 5885 | Job: CONCLUIDO
DWX0H42 | EMITIDA | NF: 5886 | Job: CONCLUIDO
DUG8J82 | EMITIDA | NF: 5887 | Job: CONCLUIDO
EMM8A04 | EMITIDA | NF: 5888 | Job: CONCLUIDO
FJQ0B93 | EMITIDA | NF: 5889 | Job: CONCLUIDO
CDO5153 | EMITIDA | NF: 5890 | Job: CONCLUIDO
BGN7B65 | EMITIDA | NF: 5971 | Job: CONCLUIDO
CFU5A10 | EMITIDA | NF: 5892 | Job: CONCLUIDO
CTA8C42 | EMITIDA | NF: 5893 | Job: CONCLUIDO
SUM7J85 | EMITIDA | NF: 5894 | Job: CONCLUIDO
TKF2I30 | EMITIDA | NF: 5895 | Job: CONCLUIDO
BRQ9E00 | EMITIDA | NF: 5896 | Job: CONCLUIDO
FWF1F90 | EMITIDA | NF: 5897 | Job: CONCLUIDO
DKX8B08 | EMITIDA | NF: 5974 | Job: CONCLUIDO
ESV5C20 | EMITIDA | NF: 5899 | Job: CONCLUIDO
CYU6D53 | EMITIDA | NF: 5900 | Job: CONCLUIDO
